fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000000581	20.2307	21.5671	FALSE	C1d
ENSMUSG00000000594	4.38752	8.4858	FALSE	Gm2a
ENSMUSG00000000600	11.61	12.5516	FALSE	Krit1
ENSMUSG00000000605	15.1079	28.94	FALSE	Clcn4-2
ENSMUSG00000000606	1	1	FALSE	Vmn2r88
ENSMUSG00000000617	1	1	FALSE	Grm6
ENSMUSG00000000627	19.2049	23.5541	FALSE	Sema4f
ENSMUSG00000000628	1.49906	46.5073	FALSE	Hk2
ENSMUSG00000000631	10.02488	25.3662	FALSE	Myo18a
ENSMUSG00000000632	22.1193	18.6723	FALSE	Sez6
ENSMUSG00000000673	1	1.0372689	FALSE	Haao
ENSMUSG00000000682	1	1	FALSE	Cd52
ENSMUSG00000000686	2.38522	1.680821	FALSE	Abhd15
ENSMUSG00000000690	1	1	FALSE	Hoxb6
ENSMUSG00000000693	1.263244	1.114231	FALSE	Loxl3
ENSMUSG00000000701	1	1	FALSE	Tcl1b5
ENSMUSG00000000706	1	1	FALSE	Btn1a1
ENSMUSG00000000708	1.175431	1.253189	FALSE	Kat2b
ENSMUSG00000000711	40.5287	31.0405	FALSE	Rab5b
ENSMUSG00000000724	1	1.170082	FALSE	Cryba1
ENSMUSG00000000730	1	1.767891	FALSE	Dnmt3l
ENSMUSG00000000731	2.0325	1	FALSE	Aire
ENSMUSG00000000732	1.97167	2.94529	FALSE	Icosl
ENSMUSG00000000738	26.8657	18.804	FALSE	Spg7
ENSMUSG00000000739	1	1.0288352	FALSE	Sult5a1
ENSMUSG00000000740	87.1742	143.877	FALSE	Rpl13
ENSMUSG00000000743	2.52122	19.5637	FALSE	Chmp1a
ENSMUSG00000000751	20.3716	6.76442	FALSE	Rpa1
ENSMUSG00000000753	1	123.89	FALSE	Serpinf1
ENSMUSG00000000759	16.2765	13.1711	FALSE	Tubgcp3
ENSMUSG00000000766	3.73247	1	FALSE	Oprm1
ENSMUSG00000000776	2.47085	7.37132	FALSE	Polr3d
ENSMUSG00000000782	1.175062	1.427754	FALSE	Tcf7
ENSMUSG00000000787	104.881	103.552	FALSE	Ddx3x
ENSMUSG00000000791	1	1	FALSE	Il12rb1
ENSMUSG00000000792	2.0149	15.7101	FALSE	Slc5a5
ENSMUSG00000000794	15.7001	2.57753	FALSE	Kcnn3
ENSMUSG00000000804	31.775	48.4146	FALSE	Usp32
ENSMUSG00000000805	11.6979	7.57312	FALSE	Car4
ENSMUSG00000000811	1	3.80765	FALSE	Txnrd3
ENSMUSG00000000817	1	1.15261	FALSE	Fasl
ENSMUSG00000000823	29.2859	12.6367	FALSE	Znf512b
